x, y
2003.0809880075703, 0.04600658062441798
2004.6744725286167, 0.07063369928129681
2006.4955971496875, 0.09174255689969368
2008.7720057916824, 0.14099679421345146
2010.479310362741, 0.21839617501840503
2012.755719004736, 0.2957955558233586
2015.0321276467307, 0.37319493662831216
2017.422356338738, 0.4541123422675827
2019.2434809598087, 0.5244754371997373
2020.9507893517425, 0.6053930790431727
2024.1377583938352, 0.756673579614598
2026.300346985818, 0.8305546993810695
2028.9182157778494, 0.9396174847157008
2031.1946244198443, 0.9959080079022575
2032.7881051200154, 1.0486802700503324
2034.836873661986, 1.0944163644276905
2036.7718259748192, 1.1647793412577627
2040.1864351169365, 1.2316242932535177
2043.9425082299654, 1.2879148164400744
2046.4465569719848, 1.340687078588149
2049.1782458140287, 1.3829049119270254
2051.3408305851362, 1.4004956266090227
2055.438367669077, 1.4286408882023012
2057.1456722401354, 1.442713459947899
2059.194440782106, 1.4567861497955794
2061.015569224052, 1.4708587215411775
2063.2919778660466, 1.4814131503503758
2064.6578184661935, 1.4814131503503758
2066.820403237301, 1.4884495543252574
2069.096811879296, 1.5130765548800538
2072.0561408213644, 1.4990039831344557
2074.7878373051585, 1.5060402690072547
2077.2918860471777, 1.4990039831344557
2079.795934789197, 1.502522126070855
2082.8690799604024, 1.5060402690072547
2086.1698728733822, 1.4849314113888579
2089.3568419154753, 1.4708587215411775
2091.974706886632, 1.4708587215411775
2095.5031475413866, 1.4743768644775768
2097.779548541631, 1.4638224356683784
2101.990901854709, 1.442713459947899
2105.4055262803267, 1.4286408882023012
2108.251023709757, 1.4216046023295021
2110.8689039644146, 1.4110501735203038
2113.259121193796, 1.4145683164567031
2116.6737456194137, 1.4110501735203038
2119.746890790619, 1.4004956266090227
2121.568011590815, 1.4004956266090227
2123.2753161618734, 1.4075320305839043
2125.4379162164814, 1.4004956266090227
2127.8281334458634, 1.3969774836726232
2129.535438016922, 1.3969774836726232
2132.153318271579, 1.3899411977998244
2134.5435355009604, 1.3864230548634249
2136.933768013843, 1.3758686260542263
2140.0069131850482, 1.3793867689906258
2141.9418654978813, 1.3793867689906258
2143.876817810715, 1.3793867689906258
2145.925586352685, 1.3829049119270254
2147.519059411106, 1.3829049119270254
2149.340195494802, 1.3793867689906258
