x, y
1995.1135577605883, -0.21433677909544008
1996.1379420315734, -0.1756370886929633
1997.6176065026075, -0.1369373982904865
1998.6419907735929, -0.09471968305369277
2000.4631153946636, -0.031392873994337156
2002.0566037365852, 0.021379388153737522
2003.6500882576315, 0.06359733959469638
2005.698856799602, 0.08470619721309325
2009.1134659417191, 0.15155126731093083
2011.1622344836894, 0.2183961012046034
2014.5768474466818, 0.32394062550075287
2016.8532522678015, 0.4118945532169873
2021.8613497518402, 0.5878021724452913
2023.568658143774, 0.6722378391230439
2024.9345025647958, 0.7144556724619202
2026.7556271858666, 0.7813006244576752
2028.6905756778249, 0.8375911476442319
2031.5360807490058, 0.925544957258384
2032.901928990903, 0.9783172194064587
2034.9506975328734, 1.0416440284658142
2036.7718259748192, 1.1014525764866878
2038.592946775015, 1.1436704098255641
2040.072611246049, 1.1788519572916414
2042.1213797880196, 1.1999609330121208
2044.3977884300143, 1.2492150522237961
2047.1294772720582, 1.3195781471559507
2049.1782458140287, 1.3477234087492291
2051.227014355999, 1.361795980494827
2054.186343298067, 1.3934593850245047
2056.8042082692236, 1.4216046466177832
2058.5115204820327, 1.4462316471725796
2060.105001182204, 1.4708587658294583
2062.495233695086, 1.4814131946386568
2064.6578184661935, 1.4884494805114556
2066.9342271081887, 1.5060403132955358
2069.438275850208, 1.5306673138503322
2071.7146844922027, 1.5271491709139324
2074.218733234222, 1.5306673138503322
2077.2918860471777, 1.5341854567867315
2079.909751018334, 1.5341854567867315
2082.4137997603534, 1.5271491709139324
2084.576384531461, 1.5236310279775331
2087.5357211152796, 1.5060403132955358
2090.4950500573477, 1.4884494805114556
2093.568195228553, 1.4884494805114556
2096.868988141533, 1.4638224799566595
2099.4868531126895, 1.46030433702026
2102.446182054758, 1.4462316471725796
2105.4055262803267, 1.428640932490582
2108.023391251483, 1.4004956708973038
2109.9583282808157, 1.3969775279609042
2112.120928335424, 1.3969775279609042
2114.2835131065317, 1.4040138138337033
2116.104633906727, 1.3793866951768243
2118.0395862195605, 1.361795980494827
2119.8607070197563, 1.3477234087492291
2121.9094755617266, 1.3477234087492291
2124.185891845472, 1.3512415516856284
2126.8037568166283, 1.3336507189015485
2129.3078055586475, 1.3160600042195512
2132.2671345007157, 1.3195781471559507
2134.884999471872, 1.3160600042195512
2137.2752319847546, 1.2949510284990717
2139.437816755862, 1.2773603138170744
2141.6004015269696, 1.2738421708806749
2143.876817810715, 1.2738421708806749
2145.8117548400473, 1.2703240279442756
2147.746707152881, 1.2597694810329945
2149.4540117239394, 1.256251338096595
